NAME,B01003_001E,B06011_001E,state,county,year
"Alexander County, Illinois",6011,21691,17,003,2020
"Boone County, Illinois",53293,31419,17,007,2020
"Brown County, Illinois",6599,31299,17,009,2020
"Calhoun County, Illinois",4782,29680,17,013,2020
"Carroll County, Illinois",14398,30087,17,015,2020
"Champaign County, Illinois",210006,29941,17,019,2020
"Clark County, Illinois",15602,33937,17,023,2020
"Clay County, Illinois",13217,28349,17,025,2020
"Coles County, Illinois",51065,25077,17,029,2020
"Cook County, Illinois",5169517,35336,17,031,2020
"Cumberland County, Illinois",10787,30249,17,035,2020
"DeKalb County, Illinois",104588,28594,17,037,2020
"Douglas County, Illinois",19551,30706,17,041,2020
"Edgar County, Illinois",17272,27443,17,045,2020
"Edwards County, Illinois",6431,30488,17,047,2020
"Fayette County, Illinois",21418,24925,17,051,2020
"Ford County, Illinois",13155,30420,17,053,2020
"Fulton County, Illinois",34654,28109,17,057,2020
"Gallatin County, Illinois",4983,27145,17,059,2020
"Grundy County, Illinois",50798,40051,17,063,2020
"Hancock County, Illinois",17820,30245,17,067,2020
"Hardin County, Illinois",3890,24543,17,069,2020
"Henry County, Illinois",49032,31448,17,073,2020
"Iroquois County, Illinois",27437,27197,17,075,2020
"Jasper County, Illinois",9547,28002,17,079,2020
"Jefferson County, Illinois",37774,28290,17,081,2020
"Jersey County, Illinois",21776,32675,17,083,2020
"Jo Daviess County, Illinois",21429,31793,17,085,2020
"Johnson County, Illinois",12391,29502,17,087,2020
"Kane County, Illinois",531756,35433,17,089,2020
"Kankakee County, Illinois",109924,29164,17,091,2020
"Kendall County, Illinois",127583,42266,17,093,2020
"Knox County, Illinois",50052,25432,17,095,2020
"Lake County, Illinois",699682,38923,17,097,2020
"LaSalle County, Illinois",108998,31078,17,099,2020
"Lawrence County, Illinois",15830,27404,17,101,2020
"Lee County, Illinois",34204,31563,17,103,2020
"Livingston County, Illinois",35757,31186,17,105,2020
"Logan County, Illinois",28818,31358,17,107,2020
"McDonough County, Illinois",30107,21583,17,109,2020
"McHenry County, Illinois",307291,40383,17,111,2020
"McLean County, Illinois",172164,34713,17,113,2020
"Macon County, Illinois",104688,30147,17,115,2020
"Macoupin County, Illinois",45243,29242,17,117,2020
"Madison County, Illinois",264403,33122,17,119,2020
"Marshall County, Illinois",11562,29963,17,123,2020
"Mason County, Illinois",13486,27891,17,125,2020
"Menard County, Illinois",12261,41068,17,129,2020
"Mercer County, Illinois",15503,31169,17,131,2020
"Montgomery County, Illinois",28598,29000,17,135,2020
"Morgan County, Illinois",34012,28341,17,137,2020
"Ogle County, Illinois",50793,32094,17,141,2020
"Perry County, Illinois",21092,29118,17,145,2020
"Piatt County, Illinois",16412,37571,17,147,2020
"Pope County, Illinois",4177,24922,17,151,2020
"Pulaski County, Illinois",5414,22753,17,153,2020
"Randolph County, Illinois",31973,30458,17,157,2020
"Richland County, Illinois",15677,29761,17,159,2020
"St. Clair County, Illinois",261186,31199,17,163,2020
"Sangamon County, Illinois",195963,35497,17,167,2020
"Schuyler County, Illinois",6897,29844,17,169,2020
"Shelby County, Illinois",21623,31230,17,173,2020
"Stark County, Illinois",5393,29952,17,175,2020
"Tazewell County, Illinois",132524,35587,17,179,2020
"Union County, Illinois",16829,29519,17,181,2020
"Wabash County, Illinois",11390,27639,17,185,2020
"Warren County, Illinois",16981,27616,17,187,2020
"Wayne County, Illinois",16309,29619,17,191,2020
"Whiteside County, Illinois",55583,30354,17,195,2020
"Will County, Illinois",689704,39027,17,197,2020
"Winnebago County, Illinois",283635,29277,17,201,2020
"Woodford County, Illinois",38503,36173,17,203,2020
"Adams County, Illinois",65670,31638,17,001,2020
"Bond County, Illinois",16520,28018,17,005,2020
"Bureau County, Illinois",32878,29335,17,011,2020
"Cass County, Illinois",12324,31048,17,017,2020
"Christian County, Illinois",32705,31180,17,021,2020
"Clinton County, Illinois",37549,35410,17,027,2020
"Crawford County, Illinois",18833,27027,17,033,2020
"De Witt County, Illinois",15764,31261,17,039,2020
"DuPage County, Illinois",926005,43245,17,043,2020
"Effingham County, Illinois",34151,31375,17,049,2020
"Franklin County, Illinois",38688,23978,17,055,2020
"Greene County, Illinois",12988,27248,17,061,2020
"Hamilton County, Illinois",8151,29603,17,065,2020
"Henderson County, Illinois",6737,29453,17,071,2020
"Jackson County, Illinois",57517,23224,17,077,2020
